62	50	33,1	32,2	32	50,0
59	49	33,1	32,3	33	49,3
58	46	33,1	32,4	34	48,7
56	47	47,0	32,5	36	48,0
56	47	47,0	32,6	38	48,7
57	48	47,0	32,7	40	49,3
58	47	47,0	32,8	39,75	50,0
59	50	47,5	32,9	39,5	49,5
63	53	48,0	33,0	39,25	49,0
53	51	48,0	33,1	39	48,5
53	49	48,0	33,2	37	48,0
52	48	48,0	33,3	35	49,0
59	49	47,5	33,4	36,33333333	50,0
57	49	47,0	33,5	37,66666667	51,0
53	48	47,3	33,6	39	44,0
51	48	47,5	33,7	39	37,0
52	50	47,8	33,8	39	30,0
58	51	48,0	33,9	41	32,3
63	51,0	48,3	34,0	43	34,5
65	51,0	48,5	34,1	45	36,8
59	51,0	48,8	34,2	45	39,0
56	49,0	49,0	34,3	45	41,0
54	49,0	47,9	34,4	45	43,0
55	49,0	46,8	34,5	44,33333333	45,0
56	48,0	45,7	34,6	43,66666667	46,0
59	48,0	44,6	34,7	43	47,0
64	48,0	43,5	34,8	42	48,7
55	48,0	42,4	34,9	41	50,3
55	49,0	41,3	35,0	40	52,0
55	51,0	40,2	34,0	41	50,3
55	53,0	39,1	35,0	42	48,7
55	55,0	38,0	35,5	44,5	47,0
55	54,0	42,5	36,0	47	48,3
55	54,0	47,0	32,0	50,66666667	49,7
55	54,0	51,5	38,0	54,33333333	51,0
55	54,0	56,0	37,5	58	53,3
55	54,0	56,4	37,0	59	55,5
55	54,0	56,8	35,0	60	57,8
55	54,0	57,2	38,0	61,5	60,0
55	51,3	57,6	39,0	63	60,1
55	48,7	58,0	34,0	64,5	60,3
