139	126,3	95,0	89	93,0
134	125,7	95,0	84	91,3
135	125,0	94,0	85,66666667	89,7
135	124,0	90,7	87,33333333	88,0
135	124,0	87,3	89	86,7
133	124,0	84,0	88	85,3
129	126,0	87,0	87	84,0
128	128,0	87,0	86	84,8
135	130,0	93,0	85	85,5
136	132,0	95,0	82,5	86,3
135	129,0	87,0	80	87,0
135	126,0	86,0	80	88,0
134	126,0	96,0	80	89,0
133	126,0	93,0	80	90,0
132	125,5	92,0	78,5	89,0
130	125,0	94,0	77	88,0
129	124,5	101,0	59,66666667	87,0
128	124,0	91,0	42,33333333	85,5
127	123,5	75,0	25	84,0
126	123,0	69,0	31,66666667	82,5
125	122,5	81,0	38,33333333	81,0
124	122,0	93,0	45	81,0
122	119,9	85,0	50,66666667	81,0
121	117,8	86,5	56,33333333	81,0
120	115,7	88,0	62	82,0
119	113,6	75,0	56,33333333	83,0
118	111,5	80,0	50,66666667	83,7
117	109,4	80,0	45	84,3
116	107,3	71,0	58,5	85,0
114	105,2	62,0	72	83,3
113	103,1	61,0	74	81,7
112	101,0	60,0	76	80,0
111	112,0	58,5	71,66666667	81,7
110	123,0	57,0	67,33333333	83,3
109	123,9	57,5	63	85,0
108	124,7	58,0	62,5	89,0
106	125,6	54,0	62	93,0
105	126,4	50,0	64,75	97,0
104	127,3	46,0	67,5	101,0
103	128,1	42,0	70,25	98,1
